Rank,Puzzles,AMT (s),Solved rate,1-sigma Mean (s),1-sigma STD (s),difficulty_level
1187,1 3 11 12,17.35,75.7,14.81,7.51,very_hard
285,3 5 11 11,6.58,94.7,7.13,2.99,easy
1331,1 4 7 11,74.51,36.0,31.45,17.39,very_hard
576,5 6 7 8,7.87,93.8,8.32,3.14,easy
437,1 1 8 8,7.24,89.6,7.71,3.87,medium
765,4 5 5 9,9.04,91.5,9.43,3.93,medium
1324,6 12 12 13,64.93,37.5,15.92,9.02,very_hard
394,4 4 4 12,7.04,96.5,7.5,2.91,very_easy
978,1 3 7 10,11.38,86.4,11.39,5.39,hard
31,4 6 7 7,5.2,98.7,5.55,1.83,very_easy
1311,4 4 7 7,57.78,39.2,15.7,9.07,very_hard
638,4 4 6 12,8.2,94.3,8.93,3.89,easy
999,4 4 5 11,11.6,85.1,11.39,4.81,hard
933,5 8 11 12,10.61,87.1,10.87,4.38,hard
396,8 8 12 13,7.05,92.3,7.37,2.68,medium
1024,4 6 7 12,12.0,81.3,11.52,5.67,hard
778,4 4 9 11,9.1,82.1,8.75,4.72,hard
1262,5 6 7 9,26.92,60.2,16.65,9.39,very_hard
398,4 6 9 10,7.06,94.0,7.55,3.25,easy
1191,2 3 7 10,17.64,77.1,15.4,7.03,very_hard
820,2 3 4 4,9.44,94.3,9.83,3.61,easy
129,1 4 4 12,5.84,95.8,6.32,2.32,easy
246,4 6 12 13,6.4,93.8,6.89,2.92,easy
29,1 2 4 12,5.18,97.7,5.61,2.0,very_easy
360,1 1 3 5,6.92,95.4,7.24,2.32,easy
735,1 2 9 13,8.85,93.2,9.41,4.18,easy
54,12 12 13 13,5.39,98.8,5.81,1.93,very_easy
318,1 1 2 7,6.73,95.5,6.94,2.06,easy
128,9 9 11 13,5.83,96.9,6.4,2.41,very_easy
936,4 5 6 8,10.66,87.3,10.56,4.36,hard
63,1 1 12 13,5.45,98.8,5.84,1.85,very_easy
545,3 7 9 10,7.7,92.0,8.27,3.55,medium
377,9 10 11 12,6.97,96.1,7.51,2.82,very_easy
152,3 6 6 8,5.96,97.1,6.38,2.26,very_easy
663,3 4 9 11,8.31,89.7,8.55,4.06,medium
1235,1 2 8 10,21.88,67.4,15.79,8.18,very_hard
1213,2 7 10 12,19.59,70.6,16.13,7.14,very_hard
85,1 3 10 10,5.58,97.5,5.91,2.0,very_easy
528,4 4 8 8,7.61,95.9,8.22,3.21,easy
757,4 11 12 13,8.99,91.3,9.36,3.89,medium
938,1 3 6 11,10.7,88.0,10.62,4.33,hard
880,6 6 8 8,10.12,86.2,9.93,4.55,hard
593,3 4 12 13,7.95,93.3,8.59,3.77,easy
451,4 5 11 13,7.27,90.7,7.77,3.4,medium
1122,3 3 8 10,14.53,81.4,13.82,5.73,hard
903,3 4 8 11,10.34,87.0,10.28,5.02,hard
1182,3 9 9 13,17.21,67.5,12.62,6.36,very_hard
658,3 6 9 10,8.29,92.5,8.69,3.66,medium
261,3 12 13 13,6.47,91.3,6.67,2.33,medium
591,1 6 9 13,7.94,90.8,8.33,4.05,medium
331,1 9 11 12,6.78,93.8,7.28,3.1,easy
970,2 6 8 13,11.22,86.6,11.11,5.14,hard
1336,2 5 7 8,87.16,33.3,28.92,16.34,very_hard
311,2 8 9 12,6.7,95.3,7.12,2.78,easy
1197,8 8 8 11,18.2,63.1,10.85,6.35,very_hard
989,5 8 10 11,11.44,87.6,11.19,4.88,hard
680,3 4 7 10,8.44,93.3,8.71,3.48,easy
568,4 7 9 10,7.81,91.0,8.34,3.71,medium
714,2 2 3 13,8.68,87.6,8.74,3.73,hard
1157,5 5 5 12,15.8,67.3,10.53,6.46,very_hard
1351,2 9 13 13,110.69,25.2,32.24,19.93,very_hard
627,6 7 8 10,8.11,91.4,8.62,3.65,medium
69,1 3 5 12,5.48,96.6,5.87,2.14,very_easy
595,6 6 10 12,7.95,93.8,8.34,3.18,easy
984,4 10 12 13,11.41,81.5,10.61,5.61,hard
112,3 7 7 7,5.75,97.7,6.09,2.04,very_easy
953,3 4 9 13,10.94,79.1,9.8,5.54,very_hard
1153,2 2 7 7,15.7,69.7,11.73,6.18,very_hard
391,1 11 12 12,7.04,94.4,7.62,3.18,easy
316,5 6 6 7,6.71,97.8,7.17,2.43,very_easy
210,10 13 13 13,6.21,93.5,6.71,2.88,easy
850,3 8 8 11,9.77,90.1,10.0,4.56,medium
818,2 3 3 9,9.43,93.1,9.85,3.81,easy
414,1 2 3 5,7.12,95.5,7.44,2.42,easy
1314,4 6 7 9,59.86,42.1,20.49,12.65,very_hard
536,5 5 10 11,7.66,87.4,8.0,3.74,hard
1249,3 4 5 13,24.58,65.9,18.63,8.79,very_hard
564,3 4 4 9,7.79,90.9,8.33,3.39,medium
1281,3 6 7 10,33.87,57.5,22.75,10.95,very_hard
811,6 8 11 13,9.36,86.2,9.67,4.66,hard
721,4 4 4 11,8.72,86.3,8.9,4.62,hard
297,1 4 7 13,6.64,96.7,7.27,2.92,very_easy
1201,2 6 8 9,18.49,73.1,15.64,6.78,very_hard
1307,3 5 8 13,52.88,42.6,31.67,14.79,very_hard
134,7 7 11 13,5.87,97.7,6.41,2.37,very_easy
440,2 6 10 10,7.24,95.9,7.77,3.05,easy
660,2 4 8 11,8.3,93.0,8.61,3.65,easy
552,1 2 12 13,7.75,96.3,8.49,3.44,very_easy
583,2 4 4 11,7.9,84.6,7.85,3.57,hard
821,5 7 8 9,9.46,88.7,9.68,4.26,medium
737,2 3 5 9,8.87,92.2,9.42,4.31,medium
351,4 4 4 8,6.88,96.4,7.48,2.9,very_easy
579,3 3 4 7,7.88,90.3,8.37,3.63,medium
951,1 7 10 13,10.9,83.5,10.47,4.67,hard
873,4 9 12 12,10.04,89.5,10.45,4.46,medium
1079,3 3 9 13,13.25,74.1,10.99,6.2,very_hard
633,4 8 9 10,8.16,89.1,8.37,3.49,medium
1185,4 7 8 11,17.32,68.0,11.43,7.08,very_hard
299,4 6 12 12,6.64,97.0,7.11,2.47,very_easy
181,1 2 10 12,6.06,97.4,6.56,2.39,very_easy
931,2 2 8 8,10.61,91.2,10.91,4.76,medium
95,2 7 7 8,5.65,96.9,5.99,2.02,very_easy
919,5 5 8 10,10.51,81.0,9.91,4.06,hard
322,4 4 12 13,6.74,92.2,7.12,2.63,medium
1210,9 9 9 12,19.36,63.1,10.35,7.05,very_hard
234,1 2 3 12,6.34,96.2,6.86,2.54,very_easy
76,1 2 5 8,5.54,95.9,5.98,2.25,easy
280,2 11 13 13,6.57,94.2,6.99,2.59,easy
866,4 4 5 7,9.98,85.2,9.64,4.61,hard
383,2 2 12 13,7.01,92.6,7.32,2.66,medium
354,2 6 6 8,6.9,95.7,7.5,3.03,easy
117,2 2 12 12,5.76,98.6,6.26,2.23,very_easy
616,4 5 10 11,8.05,88.1,8.5,4.36,hard
771,1 3 3 10,9.07,90.1,9.22,4.13,medium
942,6 7 8 11,10.76,83.7,10.51,5.19,hard
853,4 5 7 11,9.78,87.0,9.95,5.03,hard
1159,5 7 8 10,16.01,70.3,12.64,6.03,very_hard
1109,6 7 7 10,14.08,72.2,11.24,5.54,very_hard
1228,3 5 10 11,21.36,68.9,16.41,8.56,very_hard
272,10 11 11 13,6.51,94.8,6.93,2.64,easy
1083,4 7 10 12,13.36,79.2,11.83,5.78,very_hard
484,1 12 12 13,7.42,94.4,7.95,3.26,easy
513,2 2 6 6,7.57,96.1,8.1,3.08,very_easy
960,1 2 6 10,11.03,86.7,10.99,4.98,hard
864,6 12 13 13,9.95,87.3,10.0,3.82,hard
278,3 9 9 12,6.56,95.2,7.0,2.63,easy
1333,5 6 9 11,75.77,33.4,27.15,15.34,very_hard
1055,7 9 10 11,12.63,77.3,11.17,5.47,very_hard
79,6 7 12 12,5.56,95.8,5.94,2.02,easy
855,4 7 11 12,9.83,86.1,9.91,4.92,hard
84,3 5 5 8,5.57,97.1,5.96,2.06,very_easy
114,1 5 6 12,5.76,98.6,6.14,2.04,very_easy
473,4 5 5 8,7.38,88.0,7.52,2.99,hard
37,1 6 6 12,5.27,98.8,5.59,1.7,very_easy
982,5 6 6 8,11.39,81.2,10.81,6.06,hard
634,2 4 9 13,8.17,93.9,8.57,3.52,easy
623,3 4 10 12,8.08,92.7,8.48,3.55,easy
981,4 9 10 13,11.39,82.3,10.89,4.84,hard
1209,8 10 12 13,18.99,67.4,14.74,6.55,very_hard
291,4 5 13 13,6.6,87.5,6.79,2.88,hard
91,1 8 8 12,5.63,96.3,5.94,1.91,very_easy
101,3 3 4 6,5.69,97.8,6.13,2.08,very_easy
599,1 4 4 10,7.97,92.2,8.17,3.47,medium
97,4 5 11 12,5.65,97.5,6.07,2.08,very_easy
659,1 3 4 13,8.3,94.5,8.87,3.71,easy
859,6 6 8 12,9.86,90.8,10.17,4.36,medium
801,3 6 12 13,9.28,86.5,9.2,4.47,hard
601,2 6 8 10,7.97,93.5,8.48,3.57,easy
1199,3 8 9 13,18.43,74.0,15.96,7.45,very_hard
1287,2 4 7 7,35.92,51.2,17.8,9.8,very_hard
515,5 10 13 13,7.57,92.7,8.01,2.78,easy
1184,2 3 7 7,17.32,76.9,15.56,6.72,very_hard
761,1 2 6 11,9.01,89.8,9.37,4.3,medium
869,1 5 6 13,10.01,90.5,10.37,4.8,medium
126,4 6 9 9,5.81,96.5,6.23,2.28,very_easy
948,1 2 3 13,10.84,91.5,11.17,4.85,medium
758,2 3 4 13,9.0,91.1,9.39,4.01,medium
73,4 4 12 12,5.5,98.7,5.94,2.04,very_easy
215,10 10 11 12,6.23,93.5,6.61,2.36,easy
928,6 9 12 13,10.56,88.2,10.66,4.4,medium
547,1 3 8 12,7.72,96.8,8.23,2.91,very_easy
424,1 2 2 13,7.18,96.7,7.71,3.11,very_easy
194,1 3 9 12,6.14,96.4,6.57,2.4,very_easy
1268,3 4 5 11,28.57,63.7,21.03,10.14,very_hard
452,4 8 10 12,7.27,95.8,7.83,2.93,easy
145,3 4 11 13,5.93,96.6,6.41,2.38,very_easy
1216,4 8 9 12,19.85,72.6,16.99,7.21,very_hard
93,9 9 11 12,5.63,94.0,5.98,2.14,easy
1342,3 8 8 10,93.37,29.2,27.45,17.61,very_hard
12,2 2 2 12,4.99,99.2,5.35,1.7,very_easy
636,8 10 10 12,8.19,94.4,8.65,3.43,easy
1077,1 4 5 9,13.23,82.1,12.33,6.75,hard
485,3 4 8 10,7.42,93.5,7.77,3.21,easy
679,1 3 12 12,8.42,85.6,8.72,4.78,hard
1167,2 3 8 10,16.27,81.9,15.41,6.73,hard
470,2 3 3 11,7.37,89.7,7.7,3.36,medium
662,1 5 5 13,8.31,93.1,8.5,3.26,easy
1251,5 7 9 10,25.2,61.5,16.63,9.3,very_hard
193,1 1 3 4,6.14,98.1,6.48,2.05,very_easy
920,2 6 8 12,10.52,94.2,11.24,4.54,easy
1254,8 8 9 12,25.97,56.8,13.13,7.81,very_hard
402,2 5 5 8,7.08,88.6,7.29,3.23,medium
266,1 3 6 6,6.5,97.3,7.0,2.62,very_easy
1312,4 6 6 10,58.5,40.0,23.51,13.05,very_hard
940,5 6 7 13,10.72,86.2,10.82,5.54,hard
705,5 6 10 13,8.63,91.1,9.33,4.39,medium
1356,1 6 6 8,121.68,28.3,23.92,15.32,very_hard
9,1 1 1 12,4.81,99.3,5.13,1.59,very_easy
646,2 2 3 7,8.24,88.3,8.54,3.85,medium
1016,3 7 8 11,11.9,83.4,11.54,5.97,hard
405,3 6 9 9,7.08,94.0,7.65,3.29,easy
341,3 3 12 13,6.84,93.4,7.28,2.67,easy
548,2 6 6 13,7.72,84.9,7.68,3.21,hard
993,2 3 4 5,11.5,84.5,11.11,5.57,hard
137,3 6 13 13,5.91,94.5,6.18,1.99,easy
1064,1 4 7 9,12.88,82.0,12.06,5.15,hard
1119,2 10 12 13,14.5,81.4,13.6,6.3,hard
888,6 8 9 11,10.22,84.4,10.14,4.85,hard
752,7 8 10 13,8.96,92.2,9.5,4.17,medium
991,1 5 12 12,11.45,80.6,10.5,5.02,hard
293,1 5 10 12,6.61,92.1,7.04,3.05,medium
965,5 9 12 12,11.15,83.1,10.92,4.84,hard
497,7 8 8 9,7.46,86.3,7.85,3.99,hard
1358,3 3 8 8,131.38,30.0,16.45,11.41,very_hard
1291,2 2 6 9,38.45,51.5,19.11,10.89,very_hard
607,2 2 6 12,8.01,94.1,8.58,3.55,easy
350,7 7 10 13,6.87,90.0,7.19,3.17,medium
438,1 3 4 11,7.24,96.0,7.77,2.95,very_easy
447,2 2 7 13,7.26,96.3,7.68,2.9,very_easy
1179,4 9 9 12,17.15,71.1,13.82,6.77,very_hard
374,4 7 10 11,6.96,97.1,7.55,2.81,very_easy
94,3 7 8 8,5.64,96.3,6.04,2.06,very_easy
199,1 2 3 10,6.17,98.3,6.49,1.98,very_easy
1054,2 5 7 11,12.61,82.2,12.0,5.95,hard
1227,3 6 9 13,21.24,69.6,17.56,7.85,very_hard
717,4 4 7 12,8.68,89.5,8.97,4.18,medium
175,4 5 5 5,6.04,97.6,6.61,2.43,very_easy
900,1 11 11 13,10.33,87.5,10.26,4.3,hard
525,1 2 2 4,7.61,95.8,7.95,2.48,easy
974,2 3 4 9,11.3,88.3,11.34,4.85,medium
196,1 7 7 12,6.15,89.1,6.29,2.35,medium
1264,4 7 8 10,27.43,62.3,19.39,9.47,very_hard
121,4 4 11 12,5.78,92.0,6.12,2.39,medium
992,3 4 6 6,11.45,90.5,11.62,4.73,medium
381,2 6 10 12,7.0,95.4,7.46,2.77,easy
480,1 8 9 11,7.41,92.8,7.71,3.07,easy
1,1 1 4 6,4.36,99.2,4.63,1.45,very_easy
416,8 10 11 11,7.13,95.1,7.55,2.78,easy
1284,3 8 10 12,35.54,53.8,21.22,11.06,very_hard
718,4 5 8 12,8.68,93.5,9.23,3.78,easy
1154,4 5 8 11,15.74,73.0,12.54,7.21,very_hard
882,3 3 6 10,10.15,86.7,10.02,4.34,hard
962,1 6 6 6,11.04,85.9,10.54,5.13,hard
251,1 8 8 9,6.43,96.5,6.95,2.68,very_easy
637,1 3 6 9,8.2,92.8,8.69,3.37,easy
161,1 2 4 4,6.0,97.1,6.35,2.11,very_easy
848,4 7 8 13,9.73,90.8,10.23,4.41,medium
348,4 7 7 7,6.87,88.8,7.08,3.04,medium
109,1 2 2 10,5.73,96.5,6.11,2.16,very_easy
1315,4 5 6 12,59.93,44.0,22.12,16.14,very_hard
287,1 4 6 13,6.59,97.7,7.0,2.35,very_easy
915,3 4 6 11,10.47,89.0,10.68,4.71,medium
543,2 3 5 6,7.7,95.4,8.18,3.01,easy
99,3 3 11 12,5.68,94.7,6.12,2.22,easy
82,2 2 4 6,5.57,99.0,5.92,1.88,very_easy
171,1 7 8 9,6.03,97.3,6.47,2.29,very_easy
270,1 9 12 12,6.51,92.9,6.92,2.78,easy
958,2 3 6 13,10.99,89.8,11.09,4.62,medium
332,6 7 12 13,6.78,95.5,7.29,2.77,easy
1330,6 11 12 12,71.52,35.7,16.62,10.01,very_hard
1248,1 5 9 12,24.41,62.7,14.68,9.03,very_hard
895,2 3 6 9,10.32,93.3,10.81,4.22,easy
1202,3 5 7 12,18.51,71.2,14.73,8.1,very_hard
421,1 7 8 11,7.17,92.7,7.51,3.06,easy
823,1 2 7 9,9.52,93.4,10.02,3.92,easy
1265,3 5 10 10,27.65,53.9,13.53,7.55,very_hard
362,2 4 13 13,6.93,95.9,7.47,2.75,easy
557,1 4 10 11,7.77,95.0,8.25,3.23,easy
230,1 4 8 8,6.3,96.7,6.8,2.51,very_easy
32,1 1 3 6,5.21,97.9,5.56,1.79,very_easy
247,6 6 11 12,6.4,89.3,6.74,2.97,medium
313,1 2 10 13,6.71,97.1,7.21,2.75,very_easy
1087,2 3 8 8,13.49,79.9,12.25,6.01,hard
894,5 5 6 11,10.31,87.2,10.29,4.71,hard
244,3 6 7 8,6.39,97.9,6.81,2.3,very_easy
907,1 4 5 13,10.39,87.9,10.58,4.64,hard
730,6 6 9 11,8.79,88.7,9.14,4.16,medium
257,2 6 6 12,6.46,97.7,7.03,2.6,very_easy
254,1 4 12 12,6.44,91.3,6.7,2.57,medium
1296,7 8 9 12,43.05,48.2,16.81,10.34,very_hard
518,2 10 10 11,7.58,85.1,7.4,3.01,hard
816,2 2 6 8,9.4,95.5,9.82,3.55,easy
86,1 4 7 12,5.59,98.4,6.01,2.04,very_easy
1127,5 7 9 11,14.72,70.6,11.25,5.95,very_hard
572,3 9 12 12,7.84,91.0,8.4,3.61,medium
745,2 8 9 11,8.93,90.8,9.35,3.93,medium
504,1 2 3 7,7.53,96.1,8.23,3.25,very_easy
390,1 2 2 11,7.03,97.2,7.58,2.95,very_easy
227,1 3 11 11,6.29,97.3,6.7,2.43,very_easy
174,2 2 11 13,6.04,98.1,6.61,2.43,very_easy
889,2 4 12 12,10.24,85.9,10.13,4.7,hard
769,1 3 8 8,9.06,86.8,9.24,4.52,hard
1086,5 7 7 9,13.47,73.7,11.43,5.28,very_hard
301,1 4 4 7,6.65,96.2,7.37,3.21,very_easy
46,10 10 12 12,5.33,98.6,5.79,1.93,very_easy
806,6 6 6 12,9.32,89.3,9.51,4.58,medium
132,4 6 6 7,5.86,96.5,6.24,2.1,very_easy
1028,6 7 9 9,12.06,80.6,11.24,6.14,hard
521,6 7 11 13,7.59,90.1,8.0,3.53,medium
890,4 9 11 12,10.24,88.7,10.39,4.31,medium
1145,6 10 10 13,15.4,68.9,11.44,6.42,very_hard
1308,2 5 6 9,54.23,44.5,28.3,14.14,very_hard
740,1 3 4 7,8.9,95.1,9.73,3.97,easy
688,2 5 10 11,8.54,94.2,9.1,3.67,easy
28,1 1 3 9,5.18,97.0,5.52,1.84,very_easy
990,1 5 6 7,11.45,89.2,11.71,4.75,medium
1168,7 7 7 12,16.4,64.6,9.4,6.24,very_hard
843,4 7 7 11,9.66,87.5,9.83,4.74,hard
1141,3 4 10 10,15.21,75.4,13.28,6.3,very_hard
429,1 10 12 13,7.2,94.4,7.57,2.84,easy
1009,8 9 9 12,11.73,82.6,11.11,4.8,hard
1194,2 2 9 12,17.95,72.9,15.43,6.7,very_hard
475,7 10 10 11,7.38,93.7,7.72,2.98,easy
875,1 2 5 10,10.07,91.8,10.32,4.11,medium
649,2 4 8 8,8.26,93.8,8.92,4.14,easy
151,1 12 13 13,5.95,94.5,6.28,2.18,easy
856,1 7 12 12,9.85,80.5,9.13,4.51,hard
493,4 4 5 8,7.44,96.0,7.82,2.62,very_easy
618,2 3 5 11,8.07,94.9,8.57,3.31,easy
499,2 7 8 13,7.47,94.2,7.98,3.15,easy
810,2 3 4 11,9.35,88.0,9.49,4.23,hard
264,1 6 9 9,6.49,97.5,6.94,2.51,very_easy
21,1 1 2 11,5.07,99.0,5.41,1.69,very_easy
1190,6 10 11 12,17.62,69.2,13.62,6.63,very_hard
961,2 5 7 7,11.03,82.3,10.49,4.71,hard
968,2 3 4 7,11.19,86.7,11.07,4.96,hard
352,4 5 11 11,6.88,87.4,7.37,3.74,hard
592,1 4 6 11,7.95,92.6,8.29,3.24,medium
70,1 4 10 10,5.49,97.9,5.89,2.06,very_easy
172,5 5 5 5,6.03,95.2,6.49,2.24,easy
1338,7 8 8 13,88.81,29.7,27.68,15.93,very_hard
198,5 5 12 13,6.16,95.6,6.64,2.15,easy
1015,3 3 5 13,11.86,85.2,11.62,4.85,hard
819,3 7 7 10,9.43,89.4,9.75,4.32,medium
431,4 8 11 12,7.2,93.0,7.8,3.22,easy
1111,1 3 6 10,14.23,82.0,12.64,7.0,hard
947,2 3 6 6,10.82,92.1,11.25,4.42,medium
977,3 5 7 10,11.37,84.6,11.02,5.28,hard
1044,2 5 5 7,12.34,82.0,11.78,5.0,hard
1255,2 4 5 5,26.07,59.7,15.8,8.59,very_hard
883,1 8 10 11,10.17,87.3,10.18,3.52,hard
432,5 5 10 13,7.2,89.9,7.62,3.44,medium
1090,3 5 7 8,13.52,85.6,13.21,6.11,hard
795,3 9 10 12,9.19,90.3,9.4,3.75,medium
956,1 3 8 13,10.99,90.5,11.33,5.1,medium
1160,1 4 4 6,16.04,79.6,14.05,6.95,hard
657,1 4 9 11,8.29,94.4,8.93,3.73,easy
495,3 6 8 8,7.45,92.7,7.77,2.97,easy
770,4 4 8 10,9.06,91.2,9.4,4.48,medium
1017,4 5 6 13,11.9,78.2,10.47,5.17,very_hard
917,1 3 5 9,10.51,90.6,10.73,4.59,medium
555,2 2 4 10,7.76,94.4,8.11,2.94,easy
455,3 9 10 11,7.29,93.0,7.67,2.95,easy
532,1 4 4 4,7.63,95.9,8.11,2.99,easy
88,2 3 3 8,5.6,97.0,5.99,1.96,very_easy
1271,1 7 12 13,29.09,55.7,15.71,9.57,very_hard
1051,6 9 9 12,12.53,86.8,12.41,5.83,hard
913,2 4 6 12,10.45,94.4,11.22,4.85,easy
941,4 5 10 12,10.73,86.8,10.6,4.48,hard
648,4 5 9 10,8.25,90.5,8.59,3.69,medium
141,2 4 4 12,5.92,98.5,6.3,2.16,very_easy
549,3 4 9 12,7.72,94.4,8.19,3.19,easy
614,7 8 11 13,8.04,90.6,8.6,3.88,medium
626,3 7 10 11,8.11,90.7,8.37,3.42,medium
108,7 8 12 12,5.72,96.0,6.15,2.16,very_easy
1046,4 8 9 13,12.38,82.0,11.39,6.27,hard
1299,1 2 9 11,48.23,44.8,23.86,13.27,very_hard
1047,2 4 4 10,12.43,90.0,12.72,5.31,medium
840,2 6 8 8,9.63,92.9,10.03,4.12,easy
1081,1 5 8 13,13.33,80.0,11.93,6.12,hard
1100,1 4 5 8,13.8,82.2,12.93,5.93,hard
1091,4 4 6 8,13.52,83.2,12.74,6.94,hard
14,1 1 3 12,5.02,97.5,5.37,1.83,very_easy
500,3 3 4 5,7.47,93.9,7.91,3.24,easy
845,5 11 12 12,9.69,82.7,9.26,4.36,hard
466,3 7 11 12,7.34,90.7,7.82,3.51,medium
47,1 5 7 12,5.35,98.4,5.89,2.09,very_easy
242,1 2 12 12,6.38,96.2,6.72,2.21,very_easy
546,4 4 7 9,7.71,93.5,8.14,3.48,easy
540,3 4 4 7,7.68,90.4,8.11,3.53,medium
156,9 10 12 12,5.96,95.9,6.28,2.05,easy
954,1 2 2 9,10.95,82.5,10.18,4.58,hard
571,3 3 4 12,7.83,95.1,8.45,3.22,easy
802,1 3 5 7,9.3,89.6,9.52,4.11,medium
422,2 2 10 13,7.17,90.0,7.38,3.1,medium
1272,2 6 9 9,29.56,57.5,15.62,9.24,very_hard
767,3 5 9 12,9.05,90.0,9.35,4.07,medium
798,2 3 6 10,9.26,92.3,9.53,3.85,medium
1196,5 7 7 10,18.07,67.9,13.81,6.95,very_hard
1332,2 2 6 13,74.57,33.5,31.45,17.06,very_hard
218,1 4 7 8,6.25,96.6,6.78,2.73,very_easy
1101,1 5 6 11,13.81,80.5,12.42,6.7,hard
135,1 5 8 8,5.88,95.0,6.43,2.66,easy
1025,1 3 7 7,12.01,85.3,11.74,4.81,hard
358,1 1 4 9,6.91,93.6,7.13,2.35,easy
1053,2 4 4 5,12.58,81.6,11.64,5.35,hard
18,1 1 4 12,5.04,97.4,5.47,1.82,very_easy
1173,2 3 6 7,16.7,80.9,15.38,6.83,hard
327,1 3 3 3,6.76,95.7,7.15,2.54,easy
442,5 5 13 13,7.24,85.5,7.43,3.23,hard
630,5 8 8 13,8.14,92.5,8.49,3.7,medium
1362,2 3 5 12,211.03,20.4,30.98,23.05,very_hard
916,5 6 8 12,10.47,87.6,10.45,4.13,hard
926,4 6 6 9,10.55,88.0,10.9,5.47,hard
415,1 3 10 12,7.13,96.5,7.59,2.73,very_easy
277,1 3 3 7,6.56,96.0,7.38,3.34,very_easy
884,3 3 3 5,10.17,85.6,9.83,4.23,hard
120,2 2 3 12,5.78,98.2,6.2,2.05,very_easy
314,3 7 11 11,6.71,87.8,6.94,3.15,hard
268,4 5 9 9,6.5,88.2,6.75,2.79,medium
379,5 5 10 10,6.99,86.8,7.33,3.22,hard
26,1 1 5 6,5.17,97.0,5.63,2.04,very_easy
401,1 6 8 8,7.08,93.2,7.41,2.98,easy
939,1 2 7 11,10.71,88.2,10.87,4.8,medium
1104,6 9 11 13,13.86,72.0,10.79,6.37,very_hard
1259,2 2 6 11,26.33,62.1,19.06,9.03,very_hard
639,1 3 6 13,8.22,92.1,8.48,3.18,medium
1151,3 6 11 13,15.59,72.6,11.84,7.0,very_hard
366,1 6 6 10,6.94,93.6,7.3,3.13,easy
588,2 4 6 10,7.93,94.0,8.4,3.39,easy
1232,4 4 8 9,21.5,69.7,17.31,8.54,very_hard
397,2 3 5 5,7.06,96.2,7.56,2.89,very_easy
347,3 4 5 7,6.87,96.7,7.38,2.7,very_easy
904,2 2 2 5,10.37,78.7,9.32,4.87,very_hard
1065,3 3 6 8,12.93,74.4,10.76,5.87,very_hard
113,6 6 12 12,5.75,98.4,6.29,2.31,very_easy
934,1 7 9 11,10.65,85.6,10.48,4.3,hard
81,1 1 4 7,5.57,97.2,5.92,2.06,very_easy
1136,2 6 9 12,15.1,82.9,14.11,6.7,hard
224,2 3 11 12,6.27,95.0,6.84,2.83,easy
827,3 9 11 12,9.53,90.3,10.02,4.52,medium
103,2 2 2 3,5.7,99.0,5.97,1.7,very_easy
